Rank,cell_type,tissue,n_cells,Uber Score,Functional,Viability,Exosome,Mito Health,Rab Traffic,MDV,TNT,Adhesion,Metabolism,MV Form.,Shedding,Activation,Exosome_norm,Mito Health_norm,Rab Traffic_norm,MDV_norm,TNT_norm,Adhesion_norm,Metabolism_norm,MV Form._norm,Shedding_norm,Activation_norm,Viability
21,monocyte,stomach smooth muscle,330,0.5515389824508372,0.44610004959353755,0.7725550450739578,0.6996947526931763,0.21497958898544312,0.5969040393829346,0.4874962866306305,0.8337968587875366,0.6339757442474365,0.8978781700134277,0.6069040298461914,0.9166593551635742,0.7572990655899048,0.49445127922077486,0.31718342350404427,0.49653391700003985,0.5920830149587492,0.6117633506924719,0.38500309266528676,0.6382994338231375,0.5064891976037896,0.4765964937181519,0.3582590330530507,0.7725550450739578
22,macrophage,cornea,20,0.5514120447534167,0.4575663370180434,0.7519707529703497,0.7288993000984192,0.30569779872894287,0.5329815745353699,0.4629162549972534,0.8106037974357605,0.6510102152824402,0.835487425327301,0.55739426612854,0.7199118733406067,0.653514564037323,0.5150891727707902,0.4510301411221973,0.44336009045353103,0.5622296198942278,0.5947464181196975,0.39534784810727724,0.5939460033255868,0.4651710331729791,0.37430204872449396,0.309161210460126,0.7519707529703497
23,leukocyte,sublingual gland,6,0.5513730203001176,0.5471748554649005,0.6093244386674715,1.0554364919662476,0.4171033501625061,0.5855896472930908,0.45784902572631836,0.9928494095802307,0.7635570764541626,0.7949375510215759,0.4881436824798584,1.1265568733215332,0.7864205241203308,0.7458422713337687,0.615399206891721,0.4871220533633787,0.5560752747915017,0.7284614653275107,0.4636957147473802,0.5651191951066536,0.407378250754474,0.5857280054740912,0.3720356584950457,0.6093244386674715
24,macrophage,mesenteric lymph node,24,0.550647202232253,0.4314292882612057,0.6980614624366855,0.7562311291694641,0.3417447507381439,0.44430413842201233,0.40724679827690125,0.6998559832572937,0.6356239914894104,0.6446172595024109,0.46967121958732605,1.0352959632873535,0.2780630886554718,0.534403677839757,0.5042142396644016,0.3695938704286091,0.49461692072083746,0.5134898708328599,0.3860040462370835,0.45825686102476243,0.3919621347821091,0.5382789400270296,0.1315446140051094,0.6980614624366855
25,natural killer cell,anterior part of tongue,1,0.5501331056732517,0.44262860802714765,0.8454322363291019,0.6379364728927612,0.24730436503887177,0.8103246688842773,0.351339727640152,0.6626713275909424,0.9070517420768738,0.6644572019577026,0.6362304091453552,0.6631999611854553,1.047134280204773,0.45080873319302106,0.36487577969941454,0.6740676144507488,0.42671563029480614,0.486207194836848,0.5508376764817283,0.47236102844884287,0.5309634037210602,0.3448159606450527,0.49537274208920545,0.8454322363291019
26,natural killer cell,large intestine,5,0.5499354614105196,0.44406256630755464,0.7444475001811879,0.6761432886123657,0.26337143778800964,0.5548117756843567,0.38871902227401733,0.6441003084182739,1.0553150177001953,0.6235753893852234,0.7702108025550842,0.38764557242393494,0.37166696786880493,0.47780823381067816,0.3885813285113307,0.46151951738019537,0.4721142232088466,0.47258149117160936,0.6408755370175818,0.4432982461135881,0.6427761757831134,0.20154763007861878,0.17582624167470293,0.7444475001811879
27,monocyte,stomach,644,0.5484358429490543,0.46057873462631244,0.730229297804319,0.73890620470047,0.22222502529621124,0.6183826327323914,0.45410969853401184,0.8249238729476929,0.6790822148323059,1.0267488956451416,0.6057627201080322,0.9677720069885254,0.7073357701301575,0.5221607232754629,0.3278734257720529,0.5144008593958089,0.5515337179044938,0.6052531707957486,0.4123955139557969,0.7299133230503025,0.50553672237695,0.5031713718418377,0.3346226617264735,0.730229297804319
28,intermediate monocyte,crista ampullaris,3,0.548043628811853,0.508222156095367,0.498475786941622,1.1178656816482544,0.2570664584636688,0.5688565373420715,0.4997507631778717,0.9140064120292664,0.30648764967918396,0.9591771960258484,0.6199474930763245,1.5456621646881104,0.06338568031787872,0.7899589273186403,0.37927888758354544,0.47320263570260845,0.6069665486795494,0.6706137343699311,0.18612493310808229,0.6818767641385106,0.5173745648126362,0.803632411553481,0.02998616210149954,0.498475786941622
29,tissue-resident macrophage,parotid gland,652,0.5476798792268903,0.450443175760008,0.835951990588962,0.7947514057159424,0.33228930830955505,0.5028148293495178,0.3282146751880646,0.799324095249176,0.8174360394477844,0.6581770777702332,0.5355211496353149,0.7652907371520996,1.1392220258712769,0.561624690918722,0.4902635682802066,0.4182659192601882,0.3986293634812799,0.5864704114020511,0.4964155270909371,0.4678965032525784,0.44691691608538053,0.3978957722376432,0.5389371253263855,0.835951990588962
30,intermediate monocyte,posterior segment of eyeball,1,0.54705438694028,0.4538380087005984,0.7156487066134032,1.1195645332336426,0.2862964868545532,0.3680954873561859,0.4294447600841522,0.9361406564712524,0.25766685605049133,0.7332552671432495,0.32208356261253357,1.9233447313308716,1.0077041387557983,0.7911594498841851,0.4224052165429375,0.3061997944526409,0.5215772002413553,0.6868538046006659,0.156476864228519,0.5212694076952223,0.26879347832034467,1.0,0.4767193395029354,0.7156487066134032
